datasetkey	created	n_occ
4fa7b334-ce0d-4e88-aaae-2e0c138d049e	2010-04-01	20708393
82cb293c-f762-11e1-a439-00145eb45e9a	2010-04-01	7076556
82cc5c9e-f762-11e1-a439-00145eb45e9a	2010-04-01	14533851
82cd8df8-f762-11e1-a439-00145eb45e9a	2010-04-01	777113
b929f23d-290f-4e85-8f17-764c55b3b284	2010-04-01	731732
82ceb6ba-f762-11e1-a439-00145eb45e9a	2010-04-01	16963
82cfd6c6-f762-11e1-a439-00145eb45e9a	2010-04-01	25526
82d0e9e4-f762-11e1-a439-00145eb45e9a	2010-04-01	73544
82d21102-f762-11e1-a439-00145eb45e9a	2010-04-01	23128
82d32d8a-f762-11e1-a439-00145eb45e9a	2010-04-01	15883
82d43810-f762-11e1-a439-00145eb45e9a	2010-04-01	14885
82d54d68-f762-11e1-a439-00145eb45e9a	2010-04-01	190257
82d66fc2-f762-11e1-a439-00145eb45e9a	2010-04-01	1197
82d79276-f762-11e1-a439-00145eb45e9a	2010-04-01	832
82d8c0ec-f762-11e1-a439-00145eb45e9a	2010-04-01	14676
82d9ff5c-f762-11e1-a439-00145eb45e9a	2010-04-01	45614
82db2f8a-f762-11e1-a439-00145eb45e9a	2010-04-01	21296
82dc5194-f762-11e1-a439-00145eb45e9a	2010-04-01	39565
82dd797a-f762-11e1-a439-00145eb45e9a	2010-04-01	146238
82dea548-f762-11e1-a439-00145eb45e9a	2010-04-01	9206
82dfda58-f762-11e1-a439-00145eb45e9a	2010-04-01	21145
82e0ee52-f762-11e1-a439-00145eb45e9a	2010-04-01	1794
82e218a4-f762-11e1-a439-00145eb45e9a	2010-04-01	120000
82e33d42-f762-11e1-a439-00145eb45e9a	2010-04-01	7122
82e45d26-f762-11e1-a439-00145eb45e9a	2010-04-01	14435
82e57c42-f762-11e1-a439-00145eb45e9a	2010-04-01	563
82e6a41e-f762-11e1-a439-00145eb45e9a	2010-04-01	218767
82e7db90-f762-11e1-a439-00145eb45e9a	2010-04-01	2176
82e8ff34-f762-11e1-a439-00145eb45e9a	2010-04-01	248
82ea2cf6-f762-11e1-a439-00145eb45e9a	2010-04-01	127499
82eb67a6-f762-11e1-a439-00145eb45e9a	2010-04-01	1208
82ec8f46-f762-11e1-a439-00145eb45e9a	2010-04-01	9271
82edc37a-f762-11e1-a439-00145eb45e9a	2010-04-01	462
82eee8cc-f762-11e1-a439-00145eb45e9a	2010-04-01	5771
b276cb50-d3ea-11dc-ab69-b8a03c50a862	2010-04-01	13257
82f258ae-f762-11e1-a439-00145eb45e9a	2010-04-01	1494
82f4c440-f762-11e1-a439-00145eb45e9a	2010-04-01	12155
82f603dc-f762-11e1-a439-00145eb45e9a	2010-04-01	4580
82f73af4-f762-11e1-a439-00145eb45e9a	2010-04-01	11781
82fad3d0-f762-11e1-a439-00145eb45e9a	2010-04-01	299
82fd496c-f762-11e1-a439-00145eb45e9a	2010-04-01	2861
8300bfde-f762-11e1-a439-00145eb45e9a	2010-04-01	998
8301f44e-f762-11e1-a439-00145eb45e9a	2010-04-01	702
83032062-f762-11e1-a439-00145eb45e9a	2010-04-01	70
83043da8-f762-11e1-a439-00145eb45e9a	2010-04-01	28
8306a85e-f762-11e1-a439-00145eb45e9a	2010-04-01	1426
8307da4e-f762-11e1-a439-00145eb45e9a	2010-04-01	271
8309005e-f762-11e1-a439-00145eb45e9a	2010-04-01	88335
830a1f84-f762-11e1-a439-00145eb45e9a	2010-04-01	17373
830b4af8-f762-11e1-a439-00145eb45e9a	2010-04-01	43356
830c7b08-f762-11e1-a439-00145eb45e9a	2010-04-01	6299
830da118-f762-11e1-a439-00145eb45e9a	2010-04-01	115683
830eb5d0-f762-11e1-a439-00145eb45e9a	2010-04-01	53739
830fd460-f762-11e1-a439-00145eb45e9a	2010-04-01	71073
8310f570-f762-11e1-a439-00145eb45e9a	2010-04-01	171893
831234b2-f762-11e1-a439-00145eb45e9a	2010-04-01	126260
831df888-f762-11e1-a439-00145eb45e9a	2010-04-01	662
831f2f46-f762-11e1-a439-00145eb45e9a	2010-04-01	144
13b70480-bd69-11dd-b15f-b8a03c50a862	2010-04-01	236638
83216388-f762-11e1-a439-00145eb45e9a	2010-04-01	190
832282e0-f762-11e1-a439-00145eb45e9a	2010-04-01	24958
8323a4b8-f762-11e1-a439-00145eb45e9a	2010-04-01	205599
8324c0dc-f762-11e1-a439-00145eb45e9a	2010-04-01	819
8325e0d4-f762-11e1-a439-00145eb45e9a	2010-04-01	6639
8326ef10-f762-11e1-a439-00145eb45e9a	2010-04-01	175
8328216e-f762-11e1-a439-00145eb45e9a	2010-04-01	59406
832a5f06-f762-11e1-a439-00145eb45e9a	2010-04-01	31520
832b8188-f762-11e1-a439-00145eb45e9a	2010-04-01	151642
832cb04e-f762-11e1-a439-00145eb45e9a	2010-04-01	78283
832ef746-f762-11e1-a439-00145eb45e9a	2010-04-01	25955
8331311e-f762-11e1-a439-00145eb45e9a	2010-04-01	478
83325c60-f762-11e1-a439-00145eb45e9a	2010-04-01	5549
83338752-f762-11e1-a439-00145eb45e9a	2010-04-01	218
83380a34-f762-11e1-a439-00145eb45e9a	2010-04-01	6
1c334170-7ed1-11df-8c4a-0800200c9a66	2010-04-01	58361
833c9914-f762-11e1-a439-00145eb45e9a	2010-04-01	25592
